Treatments,No.of-earthworms,Earthworm-weight(g),No.of-adult,Date,Group,Adults,Mortality,,,,,,,,,,,,
C1,6,4,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,6,4.5,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,7,5.5,0,A,1,0,0,,,,,,,,,,,,
C1,6,4.8,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,7,6.8,0,A,1,0,0,,,,,,,,,,,,
C1,7,6.5,0,A,1,0,0,,,,,,,,,,,,
C1,6,6.5,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,1,0.6,0,A,1,0,0.857142857,,,,,,,,,,,,
C1,8,7.5,0,A,1,0,0,,,,,,,,,,,,
C1,7,6,0,A,1,0,0,,,,,,,,,,,,
C1,6,4.5,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,7,5.6,0,A,1,0,0,,,,,,,,,,,,
C1,6,6.2,0,A,1,0,0.142857143,,,,,,,,,,,,
C1,5,3.5,0,A,1,0,0.285714286,,,,,,,,,,,,
C1,7,5.2,0,A,1,0,0,,,,,,,,,,,,
C2-Millet15,6,13.9,0,A,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,6,19.7,0,A,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,6,15.8,0,A,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,6,13.5,0,A,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,7,15.7,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,8,15.7,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,6,14.4,0,A,2,0,0.142857143,,,,,,,,,,,,
C2-Millet15,7,19.3,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,7,13.7,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,8,13.2,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,7,14.2,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,8,15.4,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,7,13.4,0,A,2,0,0,,,,,,,,,,,,
C2-Millet15,3,7.6,0,A,2,0,0.571428571,,,,,,,,,,,,
C2-Millet15,7,18.6,0,A,2,0,0,,,,,,,,,,,,
C3-Millet25,7,16.7,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,2,16,0,A,3,0,0.714285714,,,,,,,,,,,,
C3-Millet25,7,17.6,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,6,15.2,0,A,3,0,0.142857143,,,,,,,,,,,,
C3-Millet25,7,16.6,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,7,18.4,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,8,18.7,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,6,15.6,0,A,3,0,0.142857143,,,,,,,,,,,,
C3-Millet25,6,13.3,0,A,3,0,0.142857143,,,,,,,,,,,,
C3-Millet25,7,18.1,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,7,14.8,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,7,22.3,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,8,18.8,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,8,18.3,0,A,3,0,0,,,,,,,,,,,,
C3-Millet25,5,12.2,0,A,3,0,0.285714286,,,,,,,,,,,,
T1-B.b,8,5.8,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,6.2,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,5.3,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,5.5,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,8,5.9,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,5.1,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,5,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,5,4,0,A,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,5,3.8,0,A,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,7,6.3,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,7,5,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,8,6.1,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,8,5,0,A,1,0,0,,,,,,,,,,,,
T1-B.b,5,3.8,0,A,1,0,0.285714286,,,,,,,,,,,,
T1-B.b,7,5,0,A,1,0,0,,,,,,,,,,,,
T2-Millet15,7,7.7,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,8.6,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,10.6,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,1,1.5,0,A,2,0,0.857142857,,,,,,,,,,,,
T2-Millet15,8,9,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,8,9.8,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,6,6.1,0,A,2,0,0.142857143,,,,,,,,,,,,
T2-Millet15,7,9.3,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,7,6.2,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,8,8,0,A,2,0,0,,,,,,,,,,,,
T2-Millet15,6,4.8,0,A,2,0,0.142857143,,,,,,,,,,,,
