"Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"B.bassiana",7,0,2020-09-01,1,0,0,0
"BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"BotaniGard",6,4,2020-09-01,1,57.1428571428571,1,0.142857142857143
"BotaniGard",5,0,2020-09-01,1,0,2,0.285714285714286
"BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"BotaniGard",6,1,2020-09-01,1,14.2857142857143,1,0.142857142857143
"BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"BotaniGard",6,2,2020-09-01,1,28.5714285714286,1,0.142857142857143
"BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"BotaniGard",4,2,2020-09-01,1,28.5714285714286,3,0.428571428571429
"BotaniGard",7,2,2020-09-01,1,28.5714285714286,0,0
"BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"BotaniGard",7,4,2020-09-01,1,57.1428571428571,0,0
"BotaniGard",6,1,2020-09-01,1,14.2857142857143,1,0.142857142857143
"BotaniGard",5,0,2020-09-01,1,0,2,0.285714285714286
"BotaniGard",5,1,2020-09-01,1,14.2857142857143,2,0.285714285714286
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C1",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C2",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"C3",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet15",7,0,2020-09-01,1,0,0,0
"MycoMillet25",7,0,2020-09-01,1,0,0,0
