"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"1","B.bassiana",7,0,2020-09-01,1,0,0,0
"2","B.bassiana",7,0,2020-09-01,1,0,0,0
"3","B.bassiana",7,0,2020-09-01,1,0,0,0
"4","B.bassiana",7,0,2020-09-01,1,0,0,0
"5","B.bassiana",7,0,2020-09-01,1,0,0,0
"6","B.bassiana",7,0,2020-09-01,1,0,0,0
"7","B.bassiana",7,0,2020-09-01,1,0,0,0
"8","B.bassiana",7,0,2020-09-01,1,0,0,0
"9","B.bassiana",7,0,2020-09-01,1,0,0,0
"10","B.bassiana",7,0,2020-09-01,1,0,0,0
"11","B.bassiana",7,0,2020-09-01,1,0,0,0
"12","B.bassiana",7,0,2020-09-01,1,0,0,0
"13","B.bassiana",7,0,2020-09-01,1,0,0,0
"14","B.bassiana",7,0,2020-09-01,1,0,0,0
"15","B.bassiana",7,0,2020-09-01,1,0,0,0
"16","BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"17","BotaniGard",6,4,2020-09-01,1,57.1428571428571,1,0.142857142857143
"18","BotaniGard",5,0,2020-09-01,1,0,2,0.285714285714286
"19","BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"20","BotaniGard",6,1,2020-09-01,1,14.2857142857143,1,0.142857142857143
"21","BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"22","BotaniGard",6,2,2020-09-01,1,28.5714285714286,1,0.142857142857143
"23","BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"24","BotaniGard",4,2,2020-09-01,1,28.5714285714286,3,0.428571428571429
"25","BotaniGard",7,2,2020-09-01,1,28.5714285714286,0,0
"26","BotaniGard",6,0,2020-09-01,1,0,1,0.142857142857143
"27","BotaniGard",7,4,2020-09-01,1,57.1428571428571,0,0
"28","BotaniGard",6,1,2020-09-01,1,14.2857142857143,1,0.142857142857143
"29","BotaniGard",5,0,2020-09-01,1,0,2,0.285714285714286
"30","BotaniGard",5,1,2020-09-01,1,14.2857142857143,2,0.285714285714286
"31","C1",7,0,2020-09-01,1,0,0,0
